"Primary diagnosis group ","Number of visits in thousands"
"All visits",1200017
"Essential hypertension",46284
"Routine infant or child health check",43317
"Acute upper respiratory infections, excluding pharyngitis ",40207
"Arthropathies and related disorders",36218
"Spinal disorders",31675
"Malignant neoplasms",28150
"Diabetes mellitus",27683
"Rheumatism, excluding back",22490
"Specific procedures and aftercare",21845
"General medical examination",20914
"Normal pregnancy",19747
"Follow up examination",19653
"Otitis media and eustachian tube disorders",17972
Asthma,17034
"Heart disease, excluding ischemic ",16687
"Gynecological examination",14679
"Ischemic heart disease",13928
"Allergic rhinitis",13393
"Psychoses, excluding major depressive disorder",12996
"Chronic sinusitis",12482
Glaucoma,12222
"Benign neoplasms",11856
"Abdominal pain",11772
"Acute pharyngitis",11570
"Disorders of lipoid metabolism",11404
"Sprains and strains, excluding ankle and back",11075
"Potential health hazards related to personal and family history",10980
"Chronic and unspecified bronchitis",10835
"Contact dermatitis and other eczema",10360
Cataract,9957
"Depressive disorder, not elsewhere classified",9356
"Chest pain",9338
"Contusion with intact skin surface",9087
"Complications of pregnancy, childbirth, and the puerperium",8994
"Urinary tract infection, site not specified",8642
"All other diagnoses",565217
