| Age   | 5th   | 10th  | 15th  | 25th  | 50th  | 75th  | 85th  | 90th  | 95th  |
| ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 8–11  | 22.11 | 25.06 | 26.71 | 29.53 | 34.36 | 38.3  | 39.97 | 41.6  | 44.22 |
| 12–15 | 29.82 | 33.9  | 36.29 | 39.57 | 47.21 | 55.14 | 59.05 | 61.86 | 65.47 |
| 16–19 | 43.57 | 46.89 | 49.12 | 52.36 | 57.99 | 63.88 | 67.23 | 69.69 | 73.69 |
| 20–29 | 43.82 | 47.22 | 49.08 | 52.04 | 58.06 | 64.74 | 68.08 | 70.67 | 74.25 |
| 30–39 | 42.83 | 46.26 | 48.65 | 52.16 | 58.84 | 64.92 | 68.46 | 70.97 | 74.71 |
| 40–49 | 43.52 | 47.05 | 49.18 | 53.33 | 60.3  | 67.41 | 70.69 | 73.13 | 76.86 |
| 50–59 | 43.45 | 47.15 | 49.88 | 53.52 | 60.1  | 66.28 | 70.14 | 72.23 | 76.2  |
| 60–69 | 41.73 | 46.22 | 49.04 | 52.96 | 59.27 | 65.66 | 69.02 | 71.88 | 75.71 |
| 70–79 | 41.24 | 45.56 | 47.38 | 51.29 | 59.22 | 66.37 | 69.99 | 72.39 | 75.39 |
| 80+   | 41.07 | 45.27 | 48.14 | 51.65 | 57.87 | 65.05 | 68.94 | 71.98 | 75.72 |
