Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",90.61,98.03,104.41,114.27,130.78,145.05,152.58,157.44,166.82
"12–15 years",124.9,135.24,143.21,155.87,192.56,227.25,246.97,255.87,273.17
"16–19 years",187.98,200.78,209.22,220.63,245.98,273.37,286.85,296.35,311.17
"20–29 years",180.7,192.15,198.77,210.92,234.65,260.92,275.32,286.15,300.81
"30–39 years",167.77,178.31,185.9,196.18,219.97,245.16,259.87,269.35,284.67
"40–49 years",164.98,176.46,183.09,192.06,213.76,235.38,249.29,259.93,276.43
"50–59 years",160.32,168.97,174.09,184.77,207.4,228.18,239.9,247.03,264.09
"60–69 years",157.36,169.22,176.83,188.34,208.05,226.93,238.6,246.67,259.17
"70–79 years",155.56,164.79,171.01,182.64,203.51,224.39,237.11,244.07,253.33
"80 years and over",148.21,158.6,165.96,177.11,199.06,218.24,230.64,242.51,253.2
