Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,85.13,15.66,62.61,66.97,70.09,74.22,83.34,93.13,100.22,106.32,115.97
"12–15 years",2264,108.45,21.64,76.6,82.56,86.84,93.21,106.9,121.43,129.95,135.75,145.53
"16–19 years",2309,127.39,21.17,97.45,103.37,107.22,113.6,125.21,138.65,147.31,155.08,165.57
"20–29 years",1530,136.38,27.18,100.28,106.17,110.59,118.85,132.24,149.74,161.81,170.65,185.62
"30–39 years",1450,139.87,28.25,99.37,105.38,112.08,121.01,137.04,156.1,167.07,174.73,186.76
"40–49 years",1549,142.17,30.15,100.36,108.06,113.46,121.1,138.74,159.05,169.25,179.7,193.34
"50–59 years",1187,141.79,29.04,99.16,107.24,113.25,120.55,138.96,159.53,171.11,180.28,191.98
"60–69 years",1350,141.13,28.41,100.55,107.05,112.28,120.76,138.71,157.73,171.8,179.04,190.49
"70–79 years",825,130.17,27.01,89.23,98.45,103.92,111.29,128.02,146.14,156.54,164.88,176.56
"80 years and over",501,118.62,23.09,82.5,89.01,95.32,102.68,116.82,131.82,141.35,148.02,160.28
"20 years and over (age-adjusted)",8392,138.36,,,,,,,,,,
