| Age   | 5th     | 10th    | 15th    | 25th    | 50th    | 75th    | 85th    | 90th    | 95th    |
| ----- | ------- | ------- | ------- | ------- | ------- | ------- | ------- | ------- | ------- |
| 8–11  | 934.22  | 985.51  | 1016.98 | 1061.93 | 1160.81 | 1293.84 | 1381    | 1457    | 1547.72 |
| 12–15 | 1264.4  | 1331.48 | 1381.5  | 1451.35 | 1575.98 | 1699.24 | 1767.39 | 1814.8  | 1876.99 |
| 16–19 | 1421.93 | 1478.01 | 1511.47 | 1575.34 | 1681.97 | 1792.44 | 1856.97 | 1899.15 | 1980.19 |
| 20–29 | 1449.49 | 1506.97 | 1545.32 | 1607.91 | 1715.87 | 1823.58 | 1890.98 | 1931.27 | 1997.62 |
| 30–39 | 1482.15 | 1534.24 | 1572.54 | 1619.9  | 1716.02 | 1837.85 | 1891.87 | 1942.34 | 2028.06 |
| 40–49 | 1482.83 | 1539.3  | 1570.62 | 1630.48 | 1736.53 | 1839.52 | 1907.2  | 1950.34 | 2009.58 |
| 50–59 | 1452.29 | 1502.78 | 1538.12 | 1600.51 | 1714.41 | 1808.44 | 1874.9  | 1914.24 | 1973.94 |
| 60–69 | 1410.36 | 1462.65 | 1506.02 | 1562.76 | 1688.39 | 1800.2  | 1859.19 | 1895.15 | 1959.26 |
| 70–79 | 1333.33 | 1400.3  | 1450.22 | 1507.66 | 1619.67 | 1727.84 | 1790.16 | 1837.35 | 1892.66 |
| 80+   | 1200.42 | 1264.69 | 1320.89 | 1392.73 | 1515.38 | 1628.39 | 1680.25 | 1730.65 | 1794.58 |
