| Age   | 5th    | 10th   | 15th   | 25th   | 50th   | 75th   | 85th   | 90th   | 95th   |
| ----- | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ |
| 8–11  | 44.1   | 48.01  | 51.25  | 56.47  | 68.35  | 83.83  | 93.65  | 102.53 | 113.52 |
| 12–15 | 78.06  | 88.63  | 94.76  | 103.77 | 120.04 | 136.94 | 148.2  | 155.62 | 167    |
| 16–19 | 101.46 | 110.1  | 114.37 | 123.54 | 139.41 | 155.43 | 165.53 | 173.09 | 184.55 |
| 20–29 | 110.79 | 117.37 | 122.23 | 130.6  | 147.49 | 164.14 | 174.14 | 181.14 | 192.17 |
| 30–39 | 116.52 | 123.41 | 128.18 | 134.34 | 150.94 | 167.92 | 177.29 | 185.48 | 197.35 |
| 40–49 | 116.84 | 124.51 | 129.64 | 137.52 | 153.71 | 168.93 | 180.35 | 187.82 | 197.71 |
| 50–59 | 108.49 | 117.51 | 123.44 | 132.02 | 147.47 | 164.97 | 175.16 | 181.73 | 192.62 |
| 60–69 | 98.77  | 107.09 | 112.73 | 120.52 | 138.2  | 155.54 | 165.89 | 173.14 | 185.86 |
| 70–79 | 87.74  | 95.14  | 100.54 | 107.69 | 124.6  | 142.82 | 152.28 | 158.8  | 175.57 |
| 80+   | 68.12  | 77.74  | 82.6   | 92.74  | 108.06 | 126.1  | 137.23 | 143.37 | 152.52 |
