| Age   | 5th   | 10th  | 15th  | 25th   | 50th   | 75th   | 85th   | 90th   | 95th   |
| ----- | ----- | ----- | ----- | ------ | ------ | ------ | ------ | ------ | ------ |
| 8–11  | 30.76 | 33.96 | 36.64 | 40.24  | 48.71  | 60.49  | 69.21  | 74.42  | 84.31  |
| 12–15 | 57.76 | 65.05 | 69.98 | 76.94  | 90.14  | 104.81 | 112.95 | 117.64 | 125.71 |
| 16–19 | 76.93 | 81.94 | 86.11 | 93.26  | 107.56 | 121.12 | 129.76 | 135.64 | 145.81 |
| 20–29 | 84.19 | 89.74 | 94.11 | 100.62 | 113.38 | 131.05 | 141.18 | 149.13 | 159.13 |
| 30–39 | 87.42 | 93.97 | 98.77 | 105.77 | 121.57 | 139.46 | 150.57 | 156.97 | 169.72 |
| 40–49 | 89.99 | 96.23 | 102   | 109.99 | 124.73 | 143.38 | 154.4  | 161.41 | 173.61 |
| 50–59 | 85.44 | 92    | 97.16 | 105.19 | 120.44 | 138.47 | 151.88 | 158.1  | 169.05 |
| 60–69 | 74.9  | 82.21 | 87.77 | 96.84  | 114.58 | 133.75 | 145.19 | 154.16 | 169.19 |
| 70–79 | 68.09 | 76.65 | 83.02 | 91.43  | 107.37 | 124.3  | 133.77 | 142.25 | 153.29 |
| 80+   | 58.52 | 65.29 | 69.03 | 77.18  | 93.37  | 109.97 | 119.47 | 126.45 | 138.3  |
