Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,885.53,245.33,559.16,609.81,646.79,706.33,838.85,1027.12,1150.16,1231.32,1349.24
"12–15 years",2318,1446.87,288.01,1001,1090.69,1148.41,1246.6,1439.32,1633.07,1743.27,1813.96,1936.01
"16–19 years",2027,1640.09,281.36,1194.93,1297.43,1354.6,1453.16,1621.23,1814.31,1925.72,1995.73,2137.79
"20–29 years",1378,1680.56,265.54,1285.98,1346.45,1403.24,1490.47,1672.97,1850.95,1944.65,2013.39,2116.07
"30–39 years",1372,1700.81,268.78,1298.54,1378.33,1433.49,1511.42,1669.63,1873.64,1968.97,2054.52,2173.96
"40–49 years",1570,1701.27,275.08,1287.78,1373.43,1420.93,1515.43,1681.05,1864.82,1980.1,2059.24,2178.45
"50–59 years",1200,1609.08,269.09,1191.4,1280.3,1334.09,1424.55,1597.94,1770.89,1882.94,1963.04,2077.46
"60–69 years",1419,1516.09,278.33,1088.89,1180.99,1233.03,1321.67,1502.15,1703.86,1798.6,1869.48,1962.94
"70–79 years",750,1364.51,260.06,959.38,1046.29,1096.12,1205.96,1350.17,1517.11,1624.84,1694.93,1811.79
"80 years and over",594,1189.39,257.03,765.23,855.95,921.7,1020.47,1175.23,1354.71,1466.56,1537.27,1612.38
"20 years and over (age-adjusted)",8283,1612.33,,,,,,,,,,
