| Age   | 5th     | 10th    | 15th    | 25th    | 50th    | 75th    | 85th    | 90th    | 95th    |
| ----- | ------- | ------- | ------- | ------- | ------- | ------- | ------- | ------- | ------- |
| 8–11  | 590.56  | 629.87  | 661.99  | 714.39  | 826.74  | 961.16  | 1049.14 | 1118.44 | 1249.26 |
| 12–15 | 904.6   | 974.94  | 1052.68 | 1187.98 | 1515.81 | 1866.79 | 2045.89 | 2163.37 | 2317.2  |
| 16–19 | 1568.52 | 1670    | 1769.86 | 1898.84 | 2142.28 | 2435.43 | 2598.96 | 2690.53 | 2831.75 |
| 20–29 | 1660.29 | 1797.1  | 1881.41 | 2010.38 | 2248.38 | 2512.55 | 2681.53 | 2829.87 | 3008.3  |
| 30–39 | 1685.1  | 1780.71 | 1856.86 | 1979.2  | 2224.88 | 2493.57 | 2667.6  | 2786.36 | 2976.95 |
| 40–49 | 1715.26 | 1835.03 | 1904.31 | 2013.4  | 2258.07 | 2493.43 | 2629.63 | 2749.85 | 2918.67 |
| 50–59 | 1627.34 | 1753.07 | 1823.69 | 1953.19 | 2189.5  | 2435.71 | 2587.5  | 2691.32 | 2852.79 |
| 60–69 | 1592.1  | 1699.96 | 1785.92 | 1923.9  | 2168.26 | 2403.78 | 2578.51 | 2681.02 | 2840.21 |
| 70–79 | 1501.14 | 1608.79 | 1665.42 | 1785.34 | 2046.28 | 2284.51 | 2429.53 | 2531.16 | 2663.55 |
| 80+   | 1363.72 | 1466.1  | 1544.67 | 1663.3  | 1885.76 | 2132.57 | 2293.98 | 2403.17 | 2572.64 |
