Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",193.88,214.73,222.79,236.46,270.43,307.03,330.15,346.44,385.51
"12–15 years",275.57,301.72,323.43,364.37,476.37,591.87,663.47,702.21,762.11
"16–19 years",500.77,541.87,569.96,613.28,702.94,802.18,863.67,903.01,959.36
"20–29 years",523.23,563.42,588.82,631.79,716.52,810.37,868.87,929.38,994.34
"30–39 years",508.05,547.87,573.39,611.41,692.2,792.72,849.42,899.48,967.45
"40–49 years",500.73,546.25,573.12,608.77,692.78,789.81,841.07,883.71,956.4
"50–59 years",475.12,514.55,537.64,578.54,665.19,765.71,817.87,854.72,915.46
"60–69 years",459.82,498.78,531.67,575.16,662.35,756.18,810.08,861.37,938.42
"70–79 years",422.09,457.58,479.54,524.02,611.96,712.16,766.58,798.23,849.85
"80 years and over",373.78,411.9,436.21,474.73,558.07,648.98,707.35,755,824.65
