| Age   | 5th   | 10th  | 15th  | 25th  | 50th  | 75th  | 85th  | 90th  | 95th  |
| ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 8–11  | 0.429 | 0.454 | 0.476 | 0.503 | 0.556 | 0.603 | 0.63  | 0.647 | 0.669 |
| 12–15 | 0.581 | 0.604 | 0.619 | 0.642 | 0.681 | 0.716 | 0.734 | 0.747 | 0.771 |
| 16–19 | 0.633 | 0.649 | 0.661 | 0.682 | 0.717 | 0.752 | 0.774 | 0.787 | 0.811 |
| 20–29 | 0.646 | 0.666 | 0.676 | 0.695 | 0.732 | 0.763 | 0.784 | 0.796 | 0.817 |
| 30–39 | 0.653 | 0.672 | 0.684 | 0.703 | 0.735 | 0.774 | 0.794 | 0.81  | 0.838 |
| 40–49 | 0.653 | 0.671 | 0.68  | 0.701 | 0.734 | 0.772 | 0.795 | 0.812 | 0.835 |
| 50–59 | 0.619 | 0.64  | 0.655 | 0.673 | 0.714 | 0.753 | 0.775 | 0.791 | 0.815 |
| 60–69 | 0.577 | 0.597 | 0.612 | 0.636 | 0.68  | 0.72  | 0.745 | 0.763 | 0.79  |
| 70–79 | 0.531 | 0.558 | 0.573 | 0.594 | 0.64  | 0.682 | 0.702 | 0.718 | 0.747 |
| 80+   | 0.484 | 0.512 | 0.527 | 0.549 | 0.593 | 0.644 | 0.665 | 0.682 | 0.717 |
