Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",0.458,0.483,0.5,0.524,0.57,0.611,0.633,0.647,0.664
"12–15 years",0.566,0.588,0.609,0.639,0.696,0.758,0.79,0.811,0.841
"16–19 years",0.72,0.74,0.754,0.779,0.824,0.87,0.897,0.915,0.94
"20–29 years",0.759,0.781,0.796,0.818,0.86,0.909,0.941,0.962,0.993
"30–39 years",0.768,0.788,0.8,0.825,0.872,0.918,0.95,0.971,1.008
"40–49 years",0.764,0.788,0.807,0.827,0.872,0.921,0.953,0.97,1.006
"50–59 years",0.753,0.775,0.791,0.812,0.865,0.912,0.941,0.963,0.997
"60–69 years",0.736,0.759,0.772,0.799,0.85,0.898,0.932,0.953,0.99
"70–79 years",0.689,0.728,0.742,0.769,0.819,0.876,0.905,0.924,0.949
"80 years and over",0.662,0.689,0.707,0.74,0.783,0.842,0.872,0.899,0.924
