| Age   | 5th   | 10th  | 15th  | 25th  | 50th  | 75th  | 85th  | 90th  | 95th  |
| ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 8–11  | 0.568 | 0.592 | 0.607 | 0.632 | 0.682 | 0.729 | 0.761 | 0.779 | 0.816 |
| 12–15 | 0.635 | 0.671 | 0.693 | 0.732 | 0.829 | 0.942 | 1.005 | 1.041 | 1.105 |
| 16–19 | 0.836 | 0.877 | 0.91  | 0.954 | 1.035 | 1.131 | 1.188 | 1.224 | 1.288 |
| 20–29 | 0.858 | 0.902 | 0.924 | 0.965 | 1.049 | 1.146 | 1.208 | 1.249 | 1.314 |
| 30–39 | 0.827 | 0.87  | 0.896 | 0.944 | 1.044 | 1.133 | 1.191 | 1.24  | 1.315 |
| 40–49 | 0.817 | 0.859 | 0.892 | 0.934 | 1.02  | 1.134 | 1.195 | 1.248 | 1.312 |
| 50–59 | 0.791 | 0.832 | 0.867 | 0.918 | 1.015 | 1.126 | 1.201 | 1.258 | 1.338 |
| 60–69 | 0.793 | 0.847 | 0.885 | 0.942 | 1.057 | 1.192 | 1.275 | 1.325 | 1.402 |
| 70–79 | 0.786 | 0.843 | 0.878 | 0.932 | 1.057 | 1.193 | 1.29  | 1.345 | 1.44  |
| 80+   | 0.781 | 0.833 | 0.861 | 0.922 | 1.062 | 1.213 | 1.329 | 1.395 | 1.515 |
