Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,0.59,0.067,0.473,0.499,0.518,0.543,0.589,0.635,0.656,0.678,0.698
"12–15 years",2264,0.731,0.09,0.587,0.618,0.637,0.667,0.727,0.795,0.823,0.849,0.883
"16–19 years",2309,0.863,0.074,0.744,0.77,0.786,0.811,0.861,0.912,0.94,0.959,0.984
"20–29 years",1530,0.898,0.077,0.782,0.804,0.821,0.847,0.892,0.945,0.974,0.993,1.028
"30–39 years",1450,0.906,0.078,0.789,0.81,0.825,0.853,0.899,0.95,0.984,1.01,1.043
"40–49 years",1549,0.901,0.074,0.787,0.808,0.825,0.847,0.897,0.949,0.977,0.997,1.025
"50–59 years",1187,0.887,0.078,0.763,0.792,0.805,0.832,0.885,0.935,0.967,0.99,1.019
"60–69 years",1350,0.871,0.082,0.751,0.771,0.789,0.815,0.867,0.921,0.955,0.976,1.008
"70–79 years",825,0.84,0.08,0.711,0.741,0.761,0.788,0.835,0.892,0.927,0.942,0.97
"80 years and over",501,0.804,0.082,0.678,0.706,0.72,0.746,0.798,0.852,0.892,0.911,0.945
"20 years and over (age-adjusted)",8392,0.887,,,,,,,,,,
