| Age   | 5th   | 10th  | 15th  | 25th  | 50th  | 75th  | 85th  | 90th  | 95th  |
| ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 8–11  | 0.681 | 0.718 | 0.749 | 0.788 | 0.875 | 0.96  | 1.011 | 1.042 | 1.083 |
| 12–15 | 0.901 | 0.954 | 0.98  | 1.013 | 1.085 | 1.158 | 1.199 | 1.229 | 1.266 |
| 16–19 | 0.967 | 1.008 | 1.037 | 1.076 | 1.141 | 1.211 | 1.259 | 1.29  | 1.341 |
| 20–29 | 0.983 | 1.027 | 1.054 | 1.089 | 1.153 | 1.224 | 1.267 | 1.297 | 1.348 |
| 30–39 | 0.999 | 1.032 | 1.055 | 1.086 | 1.155 | 1.228 | 1.267 | 1.289 | 1.326 |
| 40–49 | 0.998 | 1.032 | 1.053 | 1.088 | 1.153 | 1.222 | 1.264 | 1.293 | 1.337 |
| 50–59 | 0.942 | 0.986 | 1.008 | 1.046 | 1.12  | 1.187 | 1.228 | 1.261 | 1.299 |
| 60–69 | 0.877 | 0.922 | 0.953 | 0.996 | 1.067 | 1.143 | 1.184 | 1.208 | 1.251 |
| 70–79 | 0.8   | 0.849 | 0.875 | 0.916 | 0.988 | 1.072 | 1.113 | 1.14  | 1.173 |
| 80+   | 0.736 | 0.776 | 0.8   | 0.836 | 0.916 | 1.003 | 1.045 | 1.074 | 1.119 |
