Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",0.736,0.753,0.77,0.792,0.842,0.89,0.917,0.938,0.966
"12–15 years",0.83,0.862,0.881,0.92,0.988,1.074,1.124,1.153,1.198
"16–19 years",1.003,1.034,1.06,1.097,1.171,1.245,1.286,1.315,1.358
"20–29 years",1.045,1.082,1.101,1.142,1.202,1.28,1.324,1.356,1.403
"30–39 years",1.045,1.078,1.095,1.133,1.204,1.279,1.325,1.354,1.406
"40–49 years",1.033,1.073,1.094,1.131,1.2,1.277,1.312,1.338,1.381
"50–59 years",1.001,1.033,1.06,1.106,1.182,1.25,1.301,1.328,1.375
"60–69 years",0.98,1.026,1.05,1.088,1.162,1.241,1.291,1.329,1.369
"70–79 years",0.952,0.99,1.014,1.054,1.131,1.211,1.252,1.277,1.323
"80 years and over",0.918,0.964,0.993,1.025,1.108,1.181,1.229,1.263,1.312
