Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",528,3.6,0.02,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.8,4
"3 years",487,3.8,0.02,3.4,3.5,3.5,3.6,3.8,3.9,4,4.1,4.2
"4 years",544,3.9,0.02,3.5,3.6,3.6,3.7,3.9,4,4.1,4.2,4.3
"5 years",495,4.1,0.02,3.6,3.7,3.7,3.9,4.1,4.3,4.4,4.4,4.5
"6 years",279,4.2,0.03,*,3.9,4,4,4.3,4.5,4.5,4.6,*
"7 years",269,4.4,0.03,*,4,4.1,4.2,4.3,4.5,4.6,4.7,*
"8 years",261,4.5,0.04,*,4,4,4.2,4.4,4.6,4.8,4.9,*
"9 years",276,4.7,0.03,*,4.2,4.4,4.5,4.7,5,5.1,5.1,*
"10 years",294,4.8,0.03,*,4.5,4.5,4.6,4.8,5,5.2,5.2,*
"11 years",282,5,0.04,*,4.6,4.7,4.8,5,5.2,5.4,5.5,*
"12 years",202,5.3,0.05,*,*,4.9,5,5.2,5.5,5.8,*,*
"13 years",182,5.5,0.06,*,*,5,5.2,5.5,5.8,5.9,*,*
"14 years",187,5.7,0.04,*,*,5.3,5.4,5.7,6,6.1,*,*
"15 years",185,5.7,0.04,*,*,5.4,5.5,5.7,5.8,6,*,*
"16 years",192,5.7,0.04,*,*,5.5,5.6,5.7,6,6.1,*,*
"17 years",193,5.8,0.04,*,*,5.5,5.6,5.8,6,6.2,*,*
"18 years",169,5.8,0.05,*,*,5.5,5.6,5.8,6.1,6.2,*,*
"19 years",164,5.8,0.03,*,*,5.4,5.6,5.7,5.9,6,*,*
"20 years and older",7501,5.9,0.01,5.3,5.5,5.5,5.7,5.9,6.2,6.3,6.4,6.5
"20–29 years",1588,5.8,0.01,5.2,5.4,5.5,5.6,5.8,6,6.1,6.2,6.3
"30–39 years",1435,5.9,0.01,5.3,5.4,5.5,5.6,5.9,6.1,6.2,6.3,6.5
"40–49 years",1180,5.9,0.02,5.4,5.5,5.6,5.7,5.9,6.2,6.3,6.4,6.5
"50–59 years",819,6,0.02,5.4,5.5,5.6,5.7,6,6.2,6.4,6.5,6.6
"60–69 years",1117,6.1,0.02,5.4,5.5,5.7,5.8,6.1,6.3,6.4,6.5,6.6
"70–79 years",799,6.1,0.02,5.5,5.6,5.7,5.9,6.1,6.3,6.5,6.5,6.7
"80 years and older",563,6.1,0.03,5.5,5.6,5.7,5.8,6.1,6.4,6.5,6.5,6.7
