Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",289,14.6,0.12,*,13.2,13.5,13.9,14.5,15.4,15.7,16,*
"6–8 months",319,15.3,0.12,*,13.8,14,14.4,15.2,16.1,16.6,17,*
"9–11 months",275,15.6,0.12,*,14.1,14.5,14.8,15.7,16.4,16.8,17.1,*
"1 year",651,16.1,0.08,14.4,14.8,15,15.4,16,16.9,17.3,17.7,18.3
"2 years",574,16.5,0.08,14.8,15.1,15.4,15.6,16.3,17.2,17.8,18,18.5
"3 years",483,16.9,0.13,15,15.4,15.7,15.9,16.8,17.7,18.2,18.6,19
"4 years",542,17.3,0.11,15.3,15.6,16,16.4,17.1,18,18.4,19,19.5
"5 years",495,17.9,0.13,15.5,16,16.2,16.8,17.7,18.6,19.3,19.6,20.7
"6 years",279,18.9,0.28,*,16.4,16.8,17.1,18.4,19.6,20.5,22.7,*
"7 years",268,19.3,0.24,*,17.1,17.6,17.9,18.9,20.3,21.3,21.7,*
"8 years",261,20.4,0.31,*,17.5,18,18.4,19.6,21.8,23.4,24.7,*
"9 years",276,21.7,0.34,*,18.3,18.6,19.2,20.7,24.2,25.3,27,*
"10 years",294,22.6,0.34,*,18.7,19.2,20.1,22,25,26.6,27.5,*
"11 years",281,23.6,0.38,*,19.7,20,21.1,22.7,25.5,27.4,28.1,*
"12 years",202,25.2,0.45,*,*,21.6,23.1,24.1,27.3,28.5,*,*
"13 years",181,25.7,0.49,*,*,22,23.6,24.6,27.8,28.6,*,*
"14 years",185,28.1,0.78,*,*,23.9,24.3,27,29.8,30.6,*,*
"15 years",183,28.5,0.51,*,*,24.9,25.9,27.5,31.1,33.3,*,*
"16 years",191,29.2,0.5,*,*,25.6,26.6,28.4,31.2,32.6,*,*
"17 years",193,30.7,0.51,*,*,26.7,27.7,30,33.1,35.3,*,*
"18 years",168,30.1,0.55,*,*,25.9,27.4,29.6,31.8,34.5,*,*
"19 years",161,31.5,0.52,*,*,27.8,28.6,30.8,33.7,35.8,*,*
"20 years and older",7622,33,0.09,27.3,28.5,29.2,30.4,32.8,35.3,36.7,37.6,39.5
"20–29 years",1585,32.4,0.14,27,27.9,28.7,29.6,32.3,34.6,36.2,37.4,38.9
"30–39 years",1435,33.4,0.15,27.9,29,29.7,31,33.3,35.6,37,38.2,39.9
"40–49 years",1178,33.7,0.15,28.3,29.5,30.2,31.2,33.3,35.7,37.5,38.4,40.8
"50–59 years",824,33.7,0.18,27.9,29.2,30,31.1,33.7,35.6,37.2,37.9,39.3
"60–69 years",1126,32.8,0.15,26.8,28.4,29.2,30.6,32.7,35.2,36.2,37,37.8
"70–79 years",832,31.5,0.17,26.5,27.5,28.2,29.3,31.3,33.4,35.1,36.1,37.3
"80 years and older",642,29.5,0.19,23.5,25.5,26.2,27.3,29.5,31.5,32.6,33.3,35.3
