Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",581,52.1,0.19,48.5,49.2,49.8,50.8,52.3,53.6,54.4,55.2,55.9
"3 years",508,54.7,0.2,50.5,51.3,51.9,53.2,54.7,56.2,57.3,57.8,59.1
"4 years",551,57.4,0.2,53.1,54.2,54.8,55.8,57.4,59.1,60.2,60.6,61.6
"5 years",497,60.6,0.23,55.7,56.8,57.6,58.7,60.5,62.6,63.3,63.9,65.3
"6 years",282,63.3,0.37,*,58.6,60,61.2,63,65.5,66.6,67.9,*
"7 years",270,66,0.38,*,61.6,62.3,63.9,65.6,68.5,70.1,70.7,*
"8 years",269,68.7,0.36,*,64.3,64.8,66.5,68.6,70.7,72.6,73.6,*
"9 years",277,71.1,0.36,*,66.9,67.6,68.5,71.1,73.7,74.6,75.5,*
"10 years",294,73.1,0.38,*,69.1,70,70.9,73.1,75.6,76.6,78.1,*
"11 years",282,75.5,0.38,*,71.1,71.9,73.1,75.7,77.9,79.1,79.8,*
"12 years",203,79.1,0.51,*,*,74.9,76,79,82.3,84.2,*,*
"13 years",186,82.4,0.64,*,*,76.6,79.1,82.4,85.2,87.6,*,*
"14 years",189,86.9,0.57,*,*,82.5,84.6,86.9,90.3,91.1,*,*
"15 years",187,88.8,0.55,*,*,84.4,86.2,89,91.6,93.4,*,*
"16 years",194,90.4,0.58,*,*,85.7,86.9,90.4,93,95.4,*,*
"17 years",192,91.7,0.54,*,*,87.5,88.6,91.8,94.7,96.3,*,*
"18 years",173,91.9,0.5,*,*,88.3,89.1,91.9,94.6,96.5,*,*
"19 years",165,91.8,0.45,*,*,88.6,89.9,92,94.3,94.8,*,*
"20 years and older",7603,91.9,0.09,85.3,86.8,87.7,89.2,92.1,94.6,96.1,97,98.5
"20–29 years",1611,92.2,0.15,85.6,87,87.8,89.5,92.2,94.9,96.5,97.3,98.5
"30–39 years",1463,92.7,0.17,86.3,87.6,88.5,90,92.6,95.4,96.8,97.9,99.6
"40–49 years",1200,92.5,0.18,86.5,87.3,88.5,90,92.8,95,96.4,97.3,98.9
"50–59 years",831,92.2,0.2,86.1,87.5,88.5,89.8,92.3,94.8,96,96.8,97.5
"60–69 years",1125,90.8,0.17,85,86.3,87.1,88.4,91.1,93.1,94.5,95.2,96.6
"70–79 years",804,89.3,0.21,82.6,84.6,85.6,87,89.4,91.5,93.2,94.1,95.6
"80 years and older",569,87.3,0.26,81.1,82.5,83.5,84.9,87.3,90.2,91.3,92.5,93.6
