Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",306,11.8,0.11,*,10.5,11,11.2,12,12.5,13,13,*
"6–8 months",257,13,0.11,*,*,12,12.2,13,13.7,14,*,*
"9–11 months",309,13.8,0.11,*,12.5,13,13,13.8,14.5,15,15.2,*
"1 year",629,15.6,0.09,13.6,14,14.2,14.6,15.5,16.5,17,17.4,18
"2 years",556,17.5,0.1,*,15.9,16,16.8,17.5,18.4,18.9,19,*
"3 years",562,19.2,0.09,17.1,17.6,18,18.5,19.2,20,20.5,21,21.4
"4 years",527,20.8,0.11,*,19,19.4,19.9,20.8,22,22.5,23,*
"5 years",556,22.4,0.11,*,20.5,20.7,21.2,22.3,23.4,24,24.2,*
"6 years",274,23.7,0.18,*,*,21.5,22.4,23.8,24.8,25.5,*,*
"7 years",270,24.9,0.2,*,*,22.5,23.8,24.8,26,27,*,*
"8 years",245,26.5,0.19,*,*,24.7,25.4,26.5,27.6,28.2,*,*
"9 years",271,28.1,0.22,*,*,26,26.5,28,29.5,30.2,*,*
"10 years",255,29.1,0.21,*,*,27,27.8,29,30.5,31.3,*,*
"11 years",268,31,0.23,*,*,28.8,29.7,31,32.5,33,*,*
"12 years",233,32.1,0.25,*,*,29.4,30.4,32.5,34,34.2,*,*
"13 years",218,33.1,0.27,*,*,30.9,31.4,33,34.7,35.3,*,*
"14 years",220,33.8,0.24,*,*,32,32.5,33.6,34.9,36,*,*
"15 years",195,33.9,0.26,*,*,31.8,32.7,34,35.2,35.7,*,*
"16 years",211,34.1,0.26,*,*,32.3,32.8,34.1,35.2,35.8,*,*
"17 years",210,34.2,0.23,*,*,32,33,34.2,35.7,36,*,*
"18 years",186,34,0.29,*,*,*,32.4,33.9,35.5,*,*,*
"19 years",185,34,0.26,*,*,*,32.8,34,35.2,*,*,*
"20 years and older",8393,34.6,0.04,31.3,32,32.5,33.2,34.5,36,36.7,37.2,38
"20–29 years",1807,34.3,0.07,31,31.6,32.1,33,34.3,35.7,36.5,37.1,38
"30–39 years",1791,34.6,0.06,31.5,32.1,32.7,33.3,34.6,36,36.6,37.1,38
"40–49 years",1302,34.6,0.07,31.5,32.1,32.6,33.4,34.5,36,36.7,37.2,37.8
"50–59 years",964,34.8,0.09,31.5,32.2,32.5,33.3,34.7,36.1,37.1,37.6,38.2
"60–69 years",1089,34.6,0.09,31.4,32.1,32.5,33.2,34.5,36,37,37.5,38.1
"70–79 years",864,34.5,0.1,31.2,32,32.4,33.1,34.5,36,36.7,37,38
"80 years and older",576,34.4,0.11,31.4,32,32.3,33,34.4,35.6,36.3,36.9,38
