Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",518,18.8,0.18,*,16.5,17,17.5,18.6,20,20.7,21.3,*
"3 years",567,21.5,0.17,18.5,19.2,19.7,20.2,21.5,22.7,23.4,24,24.5
"4 years",528,23.4,0.18,*,21,21.5,22.1,23.4,24.6,25.5,26.1,*
"5 years",556,25.6,0.19,*,23.2,23.7,24.3,25.4,27.1,27.8,28.3,*
"6 years",274,27.4,0.29,*,*,25,25.7,27.4,29,29.8,*,*
"7 years",270,28.9,0.33,*,*,26.6,27.2,28.8,30.2,31.2,*,*
"8 years",245,31.4,0.38,*,*,28.8,29.8,30.9,33.3,34.2,*,*
"9 years",273,32.8,0.32,*,*,30.5,31.1,32.6,34.1,35.2,*,*
"10 years",255,34.9,0.35,*,*,32.5,33.2,34.4,36.5,37.8,*,*
"11 years",267,36.7,0.36,*,*,34.1,35.1,36.6,38.2,39.5,*,*
"12 years",233,38.5,0.48,*,*,35.3,36.1,38.3,40.8,41.8,*,*
"13 years",217,39.8,0.43,*,*,37.1,38.1,39.6,41.8,43.2,*,*
"14 years",219,39.9,0.44,*,*,37.4,37.8,39.5,41.6,43.6,*,*
"15 years",193,40.1,0.44,*,*,37,38.4,40,42,43.4,*,*
"16 years",208,40.2,0.42,*,*,37.4,38.4,40.3,41.7,42.7,*,*
"17 years",209,40.5,0.39,*,*,37.1,38.5,40.9,42,43.2,*,*
"18 years",185,40.1,0.49,*,*,*,38.1,39.7,42.1,*,*,*
"19 years",185,40.4,0.54,*,*,*,38.6,40.8,42,*,*,*
"20 years and older",8337,38.6,0.07,33,34.4,35.4,36.6,38.7,40.9,42,42.6,43.9
"20–29 years",1802,39.6,0.14,34.5,35.9,36.5,37.5,39.7,41.8,42.9,43.7,44.7
"30–39 years",1783,39.4,0.13,34.7,35.9,36.6,37.6,39.4,41.2,42.4,43.1,44.4
"40–49 years",1295,38.8,0.17,33.5,35.1,36,37.1,39,41,41.8,42.4,43.6
"50–59 years",958,38,0.2,32.3,34.1,34.7,36,38,40.1,41.2,42,42.9
"60–69 years",1078,37.3,0.19,32,33,34,35.3,37.4,39.4,40.5,41.2,42.3
"70–79 years",857,36.8,0.22,31.5,32.4,33.3,34.6,37,39.1,40.2,41,42
"80 years and older",564,36.9,0.27,31.5,32.8,33.6,34.6,36.8,38.7,40.1,40.9,42.5
