Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",530,18.5,0.14,16,16.5,17,17.5,18.4,19.6,20.2,20.8,21.5
"3 years",490,21.2,0.17,18,19,19.4,20.1,21,22.2,23,23.8,24.6
"4 years",541,23.2,0.16,20.2,20.9,21.1,21.7,23,24.5,25.3,25.7,26.7
"5 years",488,25.2,0.19,21.7,22.5,22.8,23.7,25.1,26.7,27.6,28.2,29
"6 years",279,27.5,0.29,*,24.5,25,25.9,27.2,29.4,30.5,31.1,*
"7 years",268,29.5,0.31,*,26.1,27.1,28,29.6,31.1,31.9,33,*
"8 years",262,31.1,0.3,*,27.7,28.4,29.5,31,32.6,33.9,34.5,*
"9 years",275,33,0.32,*,29.3,30,31,32.8,34.9,36,36.7,*
"10 years",293,34.4,0.38,*,31,32.1,33,34.6,36.4,37.6,38.2,*
"11 years",279,35.9,0.34,*,32.1,32.7,33.5,35.7,37.7,39.5,40,*
"12 years",202,38.6,0.43,*,*,35.3,36.1,38.6,41.2,41.9,*,*
"13 years",182,39.8,0.42,*,*,36.8,37.8,39.4,41.8,42.6,*,*
"14 years",186,42,0.41,*,*,39.3,40.1,41.8,43.5,45.3,*,*
"15 years",181,43.2,0.45,*,*,40,40.9,43.2,45.5,46.7,*,*
"16 years",192,43.6,0.41,*,*,40.4,41.7,43.4,45.6,47,*,*
"17 years",191,44.7,0.38,*,*,41.8,42.4,45.2,46.7,47.2,*,*
"18 years",168,44.5,0.46,*,*,41.1,42.6,44.4,47.2,47.8,*,*
"19 years",162,43.5,0.38,*,*,41,41.6,43,45.1,46.5,*,*
"20 years and older",7405,42.3,0.08,37,38.1,39,40.1,42.2,44.5,45.6,46.6,47.8
"20–29 years",1579,43.2,0.15,38.1,39.2,40,41,43.1,45.5,46.6,47.4,48.6
"30–39 years",1434,43.1,0.16,38.1,39,39.8,41,43,45.1,46.2,47,48.4
"40–49 years",1170,42.2,0.17,37.1,38.1,39,40.1,42.2,44.2,45.4,46.4,47.5
"50–59 years",816,41.7,0.2,36.2,37.7,39,40,41.7,43.6,44.6,45.6,46.8
"60–69 years",1101,41,0.19,35.5,36.7,37.5,38.8,41,43.2,44.5,45.2,46.2
"70–79 years",774,40.6,0.22,35.4,36.6,37.3,38.4,40.6,42.7,44.1,44.8,46
"80 years and older",531,40.1,0.26,34.6,36.1,37.2,38,40.1,42.1,43.2,44.3,45.6
