| Age   | Standard error |
| ----- | -------------- |
| 3     | 0.12           |
| 4     | 0.18           |
| 5     | 0.14           |
| 6     | 0.19           |
| 7     | 0.24           |
| 8     | 0.25           |
| 9     | 0.24           |
| 10    | 0.21           |
| 11    | 0.26           |
| 12    | 0.26           |
| 13    | 0.31           |
| 14    | 0.26           |
| 15    | 0.3            |
| 16    | 0.24           |
| 17    | 0.24           |
| 18    | 0.28           |
| 19    | 0.26           |
| 20+   | 0.05           |
| 20–29 | 0.09           |
| 30–39 | 0.09           |
| 40–49 | 0.11           |
| 50–59 | 0.13           |
| 60–69 | 0.12           |
| 70–79 | 0.13           |
| 80+   | 0.15           |
