| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.11           |
| 3     | 0.11           |
| 4     | 0.13           |
| 5     | 0.12           |
| 6     | 0.19           |
| 7     | 0.27           |
| 8     | 0.27           |
| 9     | 0.3            |
| 10    | 0.28           |
| 11    | 0.29           |
| 12    | 0.37           |
| 13    | 0.35           |
| 14    | 0.34           |
| 15    | 0.41           |
| 16    | 0.41           |
| 17    | 0.36           |
| 18    | 0.39           |
| 19    | 0.49           |
| 20+   | 0.07           |
| 20–29 | 0.12           |
| 30–39 | 0.14           |
| 40–49 | 0.15           |
| 50–59 | 0.18           |
| 60–69 | 0.16           |
| 70–79 | 0.17           |
| 80+   | 0.19           |
