| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.02           |
| 3     | 0.02           |
| 4     | 0.02           |
| 5     | 0.02           |
| 6     | 0.04           |
| 7     | 0.04           |
| 8     | 0.05           |
| 9     | 0.04           |
| 10    | 0.04           |
| 11    | 0.05           |
| 12    | 0.05           |
| 13    | 0.06           |
| 14    | 0.07           |
| 15    | 0.06           |
| 16    | 0.05           |
| 17    | 0.05           |
| 18    | 0.06           |
| 19    | 0.05           |
| 20+   | 0.01           |
| 20–29 | 0.02           |
| 30–39 | 0.02           |
| 40–49 | 0.02           |
| 50–59 | 0.03           |
| 60–69 | 0.02           |
| 70–79 | 0.03           |
| 80+   | 0.03           |
