| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.02           |
| 3     | 0.02           |
| 4     | 0.02           |
| 5     | 0.02           |
| 6     | 0.03           |
| 7     | 0.03           |
| 8     | 0.04           |
| 9     | 0.03           |
| 10    | 0.03           |
| 11    | 0.04           |
| 12    | 0.05           |
| 13    | 0.06           |
| 14    | 0.04           |
| 15    | 0.04           |
| 16    | 0.04           |
| 17    | 0.04           |
| 18    | 0.05           |
| 19    | 0.03           |
| 20+   | 0.01           |
| 20–29 | 0.01           |
| 30–39 | 0.01           |
| 40–49 | 0.02           |
| 50–59 | 0.02           |
| 60–69 | 0.02           |
| 70–79 | 0.02           |
| 80+   | 0.03           |
