Age,"Standard error"
"3–5 months",0.13
"6–8 months",0.14
"9–11 months",0.12
"1 year",0.09
"2 years",0.09
"3 years",0.11
"4 years",0.17
"5 years",0.15
"6 years",0.28
"7 years",0.34
"8 years",0.35
"9 years",0.47
"10 years",0.42
"11 years",0.4
"12 years",0.48
"13 years",0.53
"14 years",0.49
"15 years",0.49
"16 years",0.47
"17 years",0.5
"18 years",0.59
"19 years",0.63
"20 years and older",0.11
"20–29 years",0.17
"30–39 years",0.19
"40–49 years",0.2
"60–59 years",0.25
"60–69 years",0.21
"70–79 years",0.23
"80 years and older",0.25
