| Age    | Standard error |
| ------ | -------------- |
| 3m–5m  | 0.13           |
| 6m–8m  | 0.14           |
| 9m–11m | 0.12           |
| 1      | 0.09           |
| 2      | 0.09           |
| 3      | 0.11           |
| 4      | 0.17           |
| 5      | 0.15           |
| 6      | 0.28           |
| 7      | 0.34           |
| 8      | 0.35           |
| 9      | 0.47           |
| 10     | 0.42           |
| 11     | 0.4            |
| 12     | 0.48           |
| 13     | 0.53           |
| 14     | 0.49           |
| 15     | 0.49           |
| 16     | 0.47           |
| 17     | 0.5            |
| 18     | 0.59           |
| 19     | 0.63           |
| 20+    | 0.11           |
| 20–29  | 0.17           |
| 30–39  | 0.19           |
| 40–49  | 0.2            |
| 60–59  | 0.25           |
| 60–69  | 0.21           |
| 70–79  | 0.23           |
| 80+    | 0.25           |
