| Age    | Standard error |
| ------ | -------------- |
| 3m–5m  | 0.11           |
| 6m–8m  | 0.11           |
| 9m–11m | 0.11           |
| 1      | 0.09           |
| 2      | 0.1            |
| 3      | 0.09           |
| 4      | 0.11           |
| 5      | 0.11           |
| 6      | 0.18           |
| 7      | 0.2            |
| 8      | 0.19           |
| 9      | 0.22           |
| 10     | 0.21           |
| 11     | 0.23           |
| 12     | 0.25           |
| 13     | 0.27           |
| 14     | 0.24           |
| 15     | 0.26           |
| 16     | 0.26           |
| 17     | 0.23           |
| 18     | 0.29           |
| 19     | 0.26           |
| 20+    | 0.04           |
| 20–29  | 0.07           |
| 30–39  | 0.06           |
| 40–49  | 0.07           |
| 50–59  | 0.09           |
| 60–69  | 0.09           |
| 70–79  | 0.1            |
| 80+    | 0.11           |
