| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.14           |
| 3     | 0.17           |
| 4     | 0.16           |
| 5     | 0.19           |
| 6     | 0.29           |
| 7     | 0.31           |
| 8     | 0.3            |
| 9     | 0.32           |
| 10    | 0.38           |
| 11    | 0.34           |
| 12    | 0.43           |
| 13    | 0.42           |
| 14    | 0.41           |
| 15    | 0.45           |
| 16    | 0.41           |
| 17    | 0.38           |
| 18    | 0.46           |
| 19    | 0.38           |
| 20+   | 0.08           |
| 20–29 | 0.15           |
| 30–39 | 0.16           |
| 40–49 | 0.17           |
| 50–59 | 0.2            |
| 60–69 | 0.19           |
| 70–79 | 0.22           |
| 80+   | 0.26           |
