Age,"Standard error"
"3–5 months",0.22
"6–8 months",0.29
"9–11 months",0.19
"1 year",0.15
"2 years",0.17
"3 years",0.23
"4 years",0.35
"5 years",0.36
"6 years",0.61
"7 years",0.81
"8 years",0.75
"9 years",1
"10 years",0.99
"11 years",0.98
"12 years",1.05
"13 years",1.1
"14 years",1.15
"15 years",1.17
"16 years",1.1
"17 years",1.14
"18 years",1.2
"19 years",1.3
"20 years and older",0.22
"20–29 years",0.36
"30–39 years",0.39
"40–49 years",0.41
"50–59 years",0.47
"60–69 years",0.42
"70–79 years",0.44
"80 years and older",0.48
