| Age    | Standard error |
| ------ | -------------- |
| 3m–5m  | 0.22           |
| 6m–8m  | 0.29           |
| 9m–11m | 0.19           |
| 1      | 0.15           |
| 2      | 0.17           |
| 3      | 0.23           |
| 4      | 0.35           |
| 5      | 0.36           |
| 6      | 0.61           |
| 7      | 0.81           |
| 8      | 0.75           |
| 9      | 1              |
| 10     | 0.99           |
| 11     | 0.98           |
| 12     | 1.05           |
| 13     | 1.1            |
| 14     | 1.15           |
| 15     | 1.17           |
| 16     | 1.1            |
| 17     | 1.14           |
| 18     | 1.2            |
| 19     | 1.3            |
| 20+    | 0.22           |
| 20–29  | 0.36           |
| 30–39  | 0.39           |
| 40–49  | 0.41           |
| 50–59  | 0.47           |
| 60–69  | 0.42           |
| 70–79  | 0.44           |
| 80+    | 0.48           |
