Age,"Standard error"
"3–5 months",0.18
"6–8 months",0.19
"9–11 months",0.16
"1 year",0.11
"2 years",0.11
"3 years",0.22
"4 years",0.15
"5 years",0.18
"6 years",0.45
"7 years",0.52
"8 years",0.5
"9 years",0.58
"10 years",0.53
"11 years",0.75
"12 years",0.82
"13 years",0.9
"14 years",1.04
"15 years",0.97
"16 years",0.82
"17 years",0.93
"18 years",0.87
"19 years",0.98
"20 years and older",0.18
"20–29 years",0.28
"30–39 years",0.29
"40–49 years",0.33
"50–59 years",0.4
"60–69 years",0.34
"70–79 years",0.37
"80 years and older",0.38
