| Age    | Standard error |
| ------ | -------------- |
| 3m–5m  | 0.18           |
| 6m–8m  | 0.19           |
| 9m–11m | 0.16           |
| 1      | 0.11           |
| 2      | 0.11           |
| 3      | 0.22           |
| 4      | 0.15           |
| 5      | 0.18           |
| 6      | 0.45           |
| 7      | 0.52           |
| 8      | 0.5            |
| 9      | 0.58           |
| 10     | 0.53           |
| 11     | 0.75           |
| 12     | 0.82           |
| 13     | 0.9            |
| 14     | 1.04           |
| 15     | 0.97           |
| 16     | 0.82           |
| 17     | 0.93           |
| 18     | 0.87           |
| 19     | 0.98           |
| 20+    | 0.18           |
| 20–29  | 0.28           |
| 30–39  | 0.29           |
| 40–49  | 0.33           |
| 50–59  | 0.4            |
| 60–69  | 0.34           |
| 70–79  | 0.37           |
| 80+    | 0.38           |
