| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.29           |
| 3     | 0.31           |
| 4     | 0.34           |
| 5     | 0.4            |
| 6     | 0.57           |
| 7     | 0.76           |
| 8     | 0.71           |
| 9     | 0.77           |
| 10    | 0.84           |
| 11    | 0.8            |
| 12    | 0.95           |
| 13    | 0.98           |
| 14    | 0.99           |
| 15    | 1.1            |
| 16    | 1.03           |
| 17    | 1.08           |
| 18    | 1.12           |
| 19    | 1.28           |
| 20+   | 0.22           |
| 20–29 | 0.34           |
| 30–39 | 0.36           |
| 40–49 | 0.4            |
| 50–59 | 0.47           |
| 60–69 | 0.44           |
| 70–79 | 0.47           |
| 80+   | 0.54           |
