| Age    | Standard error |
| ------ | -------------- |
| 3m–5m  | 0.22           |
| 6m–8m  | 0.23           |
| 9m–11m | 0.2            |
| 1      | 0.15           |
| 2      | 0.13           |
| 3      | 0.2            |
| 4      | 0.18           |
| 5      | 0.2            |
| 6      | 0.46           |
| 7      | 0.45           |
| 8      | 0.59           |
| 9      | 0.69           |
| 10     | 0.63           |
| 11     | 0.7            |
| 12     | 0.77           |
| 13     | 0.89           |
| 14     | 0.82           |
| 15     | 1              |
| 16     | 0.86           |
| 17     | 0.82           |
| 18     | 0.9            |
| 19     | 1.05           |
| 20+    | 0.14           |
| 20–29  | 0.22           |
| 30–39  | 0.23           |
| 40–49  | 0.25           |
| 50–59  | 0.29           |
| 60–69  | 0.25           |
| 70–79  | 0.28           |
| 80+    | 0.28           |
