Age,"Standard error"
"3–5 months",0.09
"6–8 months",0.13
"9–11 months",0.1
"1 year",0.09
"2 years",0.12
"3 years",0.16
"4 years",0.27
"5 years",0.27
"6 years",0.55
"7 years",0.69
"8 years",0.8
"9 years",1.03
"10 years",1.05
"11 years",1.08
"12 years",1.3
"13 years",1.53
"14 years",1.45
"15 years",1.25
"16 years",1.79
"17 years",1.55
"18 years",1.88
"19 years",1.96
"20 years and older",0.37
"20–29 years",0.57
"30–39 years",0.66
"40–49 years",0.72
"50–59 years",0.84
"60–69 years",0.71
"70–79 years",0.75
"80 years and older",0.68
