Age,"Standard error"
"3–5 months",0.1
"6–8 months",0.11
"9–11 months",0.11
"1 year",0.1
"2 years",0.11
"3 years",0.2
"4 years",0.18
"5 years",0.25
"6 years",0.57
"7 years",0.56
"8 years",0.83
"9 years",0.87
"10 years",0.87
"11 years",1.18
"12 years",1.43
"13 years",1.72
"14 years",2.73
"15 years",2.03
"16 years",2.23
"17 years",1.75
"18 years",2.09
"19 years",1.82
"20 years and older",0.38
"20–29 years",0.62
"30–39 years",0.68
"40–49 years",0.76
"50–59 years",0.8
"60–69 years",0.65
"70–79 years",0.71
"80 years and older",0.74
