| Age   | Mean  |
| ----- | ----- |
| 2     | 50.8  |
| 3     | 52.7  |
| 4     | 55.8  |
| 5     | 58.4  |
| 6     | 60.9  |
| 7     | 65.2  |
| 8     | 69.4  |
| 9     | 72.8  |
| 10    | 75.8  |
| 11    | 81.2  |
| 12    | 85.5  |
| 13    | 91    |
| 14    | 93.9  |
| 15    | 93.4  |
| 16    | 95.6  |
| 17    | 97.6  |
| 18    | 95.8  |
| 19    | 97.6  |
| 20+   | 102.2 |
| 20–29 | 98.2  |
| 30–39 | 102.7 |
| 40–49 | 104   |
| 50–59 | 105.4 |
| 60–69 | 103.1 |
| 70–79 | 101.4 |
| 80+   | 99.4  |
