| Age   | Mean  |
| ----- | ----- |
| 2     | 51    |
| 3     | 52.4  |
| 4     | 54.6  |
| 5     | 57.3  |
| 6     | 61    |
| 7     | 64.1  |
| 8     | 67.8  |
| 9     | 72.3  |
| 10    | 74.5  |
| 11    | 78.2  |
| 12    | 82.6  |
| 13    | 85.3  |
| 14    | 90.8  |
| 15    | 92.5  |
| 16    | 93.2  |
| 17    | 95    |
| 18    | 94.7  |
| 19    | 96    |
| 20+   | 99.6  |
| 20–29 | 97.4  |
| 30–39 | 99.6  |
| 40–49 | 100.7 |
| 50–59 | 101.1 |
| 60–69 | 100.6 |
| 70–79 | 99.6  |
| 80+   | 97.5  |
