| Age    | Mean |
| ------ | ---- |
| 3m–5m  | 14   |
| 6m–8m  | 14.8 |
| 9m–11m | 15.2 |
| 1      | 15.9 |
| 2      | 16.3 |
| 3      | 17   |
| 4      | 17.6 |
| 5      | 18.1 |
| 6      | 18.7 |
| 7      | 19.9 |
| 8      | 20.6 |
| 9      | 22.1 |
| 10     | 22.6 |
| 11     | 23.7 |
| 12     | 24.5 |
| 13     | 26.3 |
| 14     | 26.9 |
| 15     | 26.7 |
| 16     | 27.3 |
| 17     | 27.7 |
| 18     | 27.4 |
| 19     | 28.2 |
| 20+    | 30.7 |
| 20–29  | 28.9 |
| 30–39  | 30.7 |
| 40–49  | 31.4 |
| 60–59  | 32.5 |
| 60–69  | 31.7 |
| 70–79  | 30.5 |
| 80+    | 28.5 |
