| Age   | Mean  |
| ----- | ----- |
| 2     | 47.9  |
| 3     | 49.8  |
| 4     | 51.4  |
| 5     | 53    |
| 6     | 55.7  |
| 7     | 57.4  |
| 8     | 60    |
| 9     | 63.3  |
| 10    | 65.1  |
| 11    | 68.7  |
| 12    | 72.2  |
| 13    | 73    |
| 14    | 77.4  |
| 15    | 78.7  |
| 16    | 78.3  |
| 17    | 81    |
| 18    | 80.2  |
| 19    | 82.1  |
| 20+   | 95.2  |
| 20–29 | 87.6  |
| 30–39 | 93.6  |
| 40–49 | 97.7  |
| 50–59 | 100.5 |
| 60–69 | 101.6 |
| 70–79 | 100.1 |
| 80+   | 97.6  |
