| Age   | Mean  |
| ----- | ----- |
| 2     | 90.9  |
| 3     | 98.8  |
| 4     | 105.2 |
| 5     | 112.3 |
| 6     | 118.9 |
| 7     | 125.9 |
| 8     | 131.3 |
| 9     | 137.7 |
| 10    | 142   |
| 11    | 147.4 |
| 12    | 155.5 |
| 13    | 161.6 |
| 14    | 169   |
| 15    | 172.8 |
| 16    | 175   |
| 17    | 176.5 |
| 18    | 177.3 |
| 19    | 175.5 |
| 20+   | 175.6 |
| 20–29 | 176.1 |
| 30–39 | 176.7 |
| 40–49 | 176.3 |
| 50–59 | 175.7 |
| 60–69 | 174.1 |
| 70–79 | 171.9 |
| 80+   | 169.4 |
