Age,Mean
"3–5 months",11.8
"6–8 months",13
"9–11 months",13.8
"1 year",15.6
"2 years",17.5
"3 years",19.2
"4 years",20.8
"5 years",22.4
"6 years",23.7
"7 years",24.9
"8 years",26.5
"9 years",28.1
"10 years",29.1
"11 years",31
"12 years",32.1
"13 years",33.1
"14 years",33.8
"15 years",33.9
"16 years",34.1
"17 years",34.2
"18 years",34
"19 years",34
"20 years and older",34.6
"20–29 years",34.3
"30–39 years",34.6
"40–49 years",34.6
"50–59 years",34.8
"60–69 years",34.6
"70–79 years",34.5
"80 years and older",34.4
