| Age    | Mean |
| ------ | ---- |
| 3m–5m  | 12.3 |
| 6m–8m  | 13.5 |
| 9m–11m | 14.3 |
| 1      | 16   |
| 2      | 17.9 |
| 3      | 19.4 |
| 4      | 20.9 |
| 5      | 22.4 |
| 6      | 23.8 |
| 7      | 25.4 |
| 8      | 26.6 |
| 9      | 28.3 |
| 10     | 29.1 |
| 11     | 30.3 |
| 12     | 32.3 |
| 13     | 33.6 |
| 14     | 35.3 |
| 15     | 36.2 |
| 16     | 36.8 |
| 17     | 37.1 |
| 18     | 37.2 |
| 19     | 37.1 |
| 20+    | 37.8 |
| 20–29  | 37.4 |
| 30–39  | 37.8 |
| 40–49  | 38   |
| 50–59  | 38.1 |
| 60–69  | 38.1 |
| 70–79  | 37.7 |
| 80+    | 37.6 |
