| Age    | Mean |
| ------ | ---- |
| 3m–5m  | 8.1  |
| 6m–8m  | 7.9  |
| 9m–11m | 7.6  |
| 1      | 7.1  |
| 2      | 6.9  |
| 3      | 6.9  |
| 4      | 7.3  |
| 5      | 7.4  |
| 6      | 7.6  |
| 7      | 9.1  |
| 8      | 9    |
| 9      | 11   |
| 10     | 11.5 |
| 11     | 11.9 |
| 12     | 12.6 |
| 13     | 13.9 |
| 14     | 15.3 |
| 15     | 14.9 |
| 16     | 16   |
| 17     | 17.8 |
| 18     | 16.4 |
| 19     | 16.3 |
| 20+    | 21.3 |
| 20–29  | 18.5 |
| 30–39  | 21.3 |
| 40–49  | 23.1 |
| 50–59  | 24.5 |
| 60–69  | 22.5 |
| 70–79  | 19.8 |
| 80+    | 16.3 |
