Age,Mean
"3–5 months",7.8
"6–8 months",7.6
"9–11 months",7.2
"1 year",6.9
"2 years",6.4
"3 years",6.2
"4 years",6
"5 years",5.8
"6 years",6.9
"7 years",6.7
"8 years",7.6
"9 years",8.6
"10 years",9.1
"11 years",10.5
"12 years",10.8
"13 years",10.2
"14 years",11
"15 years",11.7
"16 years",10.9
"17 years",12.7
"18 years",12.3
"19 years",13.9
"20 years and older",19
"20–29 years",16.2
"30–39 years",19
"40–49 years",20.1
"50–59 years",20.8
"60–69 years",21.2
"70–79 years",19.5
"80 years and older",16.7
