| Age    | Mean |
| ------ | ---- |
| 3m–5m  | 7.8  |
| 6m–8m  | 7.6  |
| 9m–11m | 7.2  |
| 1      | 6.9  |
| 2      | 6.4  |
| 3      | 6.2  |
| 4      | 6    |
| 5      | 5.8  |
| 6      | 6.9  |
| 7      | 6.7  |
| 8      | 7.6  |
| 9      | 8.6  |
| 10     | 9.1  |
| 11     | 10.5 |
| 12     | 10.8 |
| 13     | 10.2 |
| 14     | 11   |
| 15     | 11.7 |
| 16     | 10.9 |
| 17     | 12.7 |
| 18     | 12.3 |
| 19     | 13.9 |
| 20+    | 19   |
| 20–29  | 16.2 |
| 30–39  | 19   |
| 40–49  | 20.1 |
| 50–59  | 20.8 |
| 60–69  | 21.2 |
| 70–79  | 19.5 |
| 80+    | 16.7 |
