| Age    | Mean |
| ------ | ---- |
| 3m–5m  | 10.5 |
| 6m–8m  | 10.2 |
| 9m–11m | 9.5  |
| 1      | 9.4  |
| 2      | 9.1  |
| 3      | 8.9  |
| 4      | 9    |
| 5      | 8.7  |
| 6      | 9.8  |
| 7      | 9.7  |
| 8      | 10.8 |
| 9      | 12.4 |
| 10     | 12.5 |
| 11     | 13.6 |
| 12     | 13.5 |
| 13     | 12.4 |
| 14     | 11   |
| 15     | 12.1 |
| 16     | 11.1 |
| 17     | 11.3 |
| 18     | 10.9 |
| 19     | 12.1 |
| 20+    | 13.1 |
| 20–29  | 12   |
| 30–39  | 13   |
| 40–49  | 13.5 |
| 50–59  | 13.7 |
| 60–69  | 14.2 |
| 70–79  | 13.4 |
| 80+    | 12   |
