Age,Mean
"3–5 months",6.8
"6–8 months",8.2
"9–11 months",9
"1 year",10.9
"2 years",13.2
"3 years",15.4
"4 years",17.9
"5 years",20.2
"6 years",22.6
"7 years",26.4
"8 years",29.9
"9 years",34.4
"10 years",37.9
"11 years",44.2
"12 years",49
"13 years",55.8
"14 years",58.5
"15 years",58.1
"16 years",61.3
"17 years",62.4
"18 years",61.2
"19 years",63.2
"20 years and older",69.2
"20–29 years",64.5
"30–39 years",70.1
"40–49 years",71.6
"50–59 years",74.4
"60–69 years",70.9
"70–79 years",67.4
"80 years and older",60.5
