Age,Mean
"3–5 months",7.4
"6–8 months",8.8
"9–11 months",9.6
"1 year",11.6
"2 years",13.6
"3 years",15.8
"4 years",17.7
"5 years",20.1
"6 years",23.3
"7 years",26.3
"8 years",30.2
"9 years",34.4
"10 years",37.3
"11 years",42.5
"12 years",49.1
"13 years",54
"14 years",64.1
"15 years",66.9
"16 years",68.8
"17 years",72.9
"18 years",71.3
"19 years",73
"20 years and older",82.1
"20–29 years",78.3
"30–39 years",83
"40–49 years",85.1
"50–59 years",86
"60–69 years",83.1
"70–79 years",79
"80 years and older",71.8
