Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",14.7,15,15.3,15.6,16.3,17.2,17.7,18.1,18.6
"3 years",14.1,14.4,14.7,15.1,15.9,16.7,17.2,17.7,18.5
"4 years",13.9,14.4,14.6,15,15.8,16.5,17.1,17.3,18
"5 years",13.7,14.3,14.5,14.8,15.5,16.4,17.1,17.3,18.5
"6 years",*,14.1,14.3,14.8,15.7,16.4,17.8,19.9,*
"7 years",*,14.4,14.7,15.1,15.8,17.3,18.5,19,*
"8 years",*,14.5,14.9,15.3,16.3,18.6,19.9,22.1,*
"9 years",*,15,15.2,15.7,17,19.8,21.5,22.9,*
"10 years",*,15.2,15.5,16,17.7,20.2,22,22.8,*
"11 years",*,15.7,16,16.4,18.3,21,23.3,24.8,*
"12 years",*,*,16.7,17.9,19,21.8,23,*,*
"13 years",*,*,16.9,18,19.5,22.5,24.8,*,*
"14 years",*,*,17.7,18.8,20.8,23.6,24.6,*,*
"15 years",*,*,18.7,19.5,20.9,24.3,25.4,*,*
"16 years",*,*,19,19.4,21.2,23.4,26.3,*,*
"17 years",*,*,19.8,25,21.8,25.2,28.5,*,*
"18 years",*,*,19.2,19.4,21.8,24.6,26.8,*,*
"19 years",*,*,20.4,20.8,22.7,25.1,27.2,*,*
"20 years and older",20.3,21.3,22.1,23.4,25.9,29,30.9,32.4,35.1
"20–29 years",19.4,20.3,20.9,22,24.3,27.4,29.3,30.8,33.6
"30–39 years",20.5,21.6,22.2,23.5,25.8,28.4,30.6,32.1,35.5
"40–49 years",21.2,22.2,22.7,24.1,26.4,29.6,32,33.4,36.2
"50–59 years",21.4,22.6,23.5,24.7,27.2,30.7,32.1,33.5,35.8
"60–69 years",20.6,21.9,23.1,24.4,27.1,30,31.7,32.8,34.2
"70–79 years",20.4,21.5,22.3,23.8,26.1,29.3,30.7,31.7,34.9
"80 years and older",18.5,19.8,21.1,22.4,25,27.1,28.7,29.5,31.7
