| Age   | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 2     | 13.6 | 14   | 14.2 | 14.6 | 15.3 | 15.8 | 16.2 | 16.4 | 16.9 |
| 3     | 14.4 | 14.8 | 15.1 | 15.4 | 16.3 | 16.8 | 17.1 | 17.4 | 17.8 |
| 4     | 15.2 | 15.4 | 15.7 | 16.1 | 16.8 | 17.5 | 18   | 18.3 | 18.6 |
| 5     | 15.7 | 16   | 16.4 | 16.8 | 17.7 | 18.4 | 18.9 | 19.2 | 19.6 |
| 6     | \*   | 16.5 | 16.8 | 17.2 | 18.2 | 18.9 | 19.8 | 20.6 | \*   |
| 7     | \*   | 17.4 | 18   | 18.5 | 19.5 | 20.6 | 21.2 | 21.6 | \*   |
| 8     | \*   | 18.2 | 18.4 | 18.9 | 20   | 21   | 21.7 | 22.2 | \*   |
| 9     | \*   | 18.9 | 19.3 | 19.9 | 21   | 22.8 | 23.1 | 23.9 | \*   |
| 10    | \*   | 19.4 | 19.5 | 20.1 | 21.7 | 22.8 | 23.5 | 24.9 | \*   |
| 11    | \*   | 20.3 | 20.9 | 21.4 | 22.4 | 24   | 25.1 | 25.8 | \*   |
| 12    | \*   | \*   | 22   | 22.4 | 24.1 | 26   | 26.8 | \*   | \*   |
| 13    | \*   | \*   | 22.4 | 23.2 | 25.2 | 26.9 | 27.4 | \*   | \*   |
| 14    | \*   | \*   | 24.1 | 25   | 26   | 27.3 | 28.5 | \*   | \*   |
| 15    | \*   | \*   | 24.3 | 25.2 | 26.6 | 28.6 | 30   | \*   | \*   |
| 16    | \*   | \*   | 24.9 | 25.5 | 27.2 | 28.9 | 29.4 | \*   | \*   |
| 17    | \*   | \*   | 24.7 | 26.3 | 27.6 | 28.9 | 29.6 | \*   | \*   |
| 18    | \*   | \*   | 25.3 | 25.9 | 27.5 | 29.3 | 30.3 | \*   | \*   |
| 19    | \*   | \*   | 25.5 | 26.2 | 27.4 | 29.4 | 30.6 | \*   | \*   |
| 20+   | 25.3 | 26.2 | 26.8 | 27.7 | 29.4 | 31.3 | 32.3 | 33.1 | 34.5 |
| 20–29 | 24.6 | 25.4 | 26.1 | 26.7 | 28.2 | 29.8 | 31   | 32   | 33.4 |
| 30–39 | 25.1 | 25.9 | 26.5 | 27.5 | 29.1 | 30.3 | 31.4 | 32.2 | 33.7 |
| 40–49 | 25.5 | 26.5 | 27   | 28   | 29.7 | 31.4 | 32.6 | 33.6 | 35.1 |
| 50–59 | 26.2 | 27.3 | 27.9 | 28.9 | 30.5 | 32.1 | 32.8 | 33.4 | 34.6 |
| 60–69 | 26.9 | 27.6 | 28.3 | 29.1 | 30.8 | 32.3 | 33.2 | 33.9 | 35.1 |
| 70–79 | 26.9 | 27.9 | 28.3 | 29.2 | 30.7 | 32.2 | 33   | 33.3 | 34.4 |
| 80+   | 26.4 | 27.4 | 28.4 | 29.3 | 30.6 | 32.1 | 32.9 | 33.4 | 34.3 |
