| Age   | 5th  | 10th | 15th | 25th | 50th  | 75th  | 85th  | 90th  | 95th  |
| ----- | ---- | ---- | ---- | ---- | ----- | ----- | ----- | ----- | ----- |
| 2     | 45.7 | 46.7 | 47.9 | 49   | 50.8  | 53    | 54.2  | 55.2  | 57    |
| 3     | 47   | 48.1 | 49   | 50   | 52    | 54.2  | 55.5  | 56.2  | 57.8  |
| 4     | 49.2 | 50.5 | 51.1 | 52   | 54.2  | 56.3  | 58.3  | 59.1  | 61.5  |
| 5     | 51   | 52.1 | 53.1 | 54.5 | 56.7  | 59.6  | 61    | 62.2  | 65.1  |
| 6     | \*   | 53.5 | 54.8 | 56.5 | 59.5  | 64    | 66.3  | 69.7  | \*    |
| 7     | \*   | 57.2 | 58.1 | 59.4 | 63.1  | 68.6  | 70.7  | 71.1  | \*    |
| 8     | \*   | 60.2 | 61.2 | 62.6 | 66    | 71.5  | 76.2  | 80.5  | \*    |
| 9     | \*   | 63.5 | 63.6 | 66.1 | 70.1  | 78.4  | 82.8  | 84.3  | \*    |
| 10    | \*   | 65.1 | 66.8 | 68.5 | 73    | 79.7  | 84.3  | 85.7  | \*    |
| 11    | \*   | 68.1 | 68.7 | 72.1 | 76    | 83.1  | 86.8  | 89.2  | \*    |
| 12    | \*   | \*   | 74.2 | 76.2 | 81.4  | 88.4  | 90.1  | \*    | \*    |
| 13    | \*   | \*   | 75.3 | 79   | 84.6  | 90.1  | 94.1  | \*    | \*    |
| 14    | \*   | \*   | 80.5 | 82.6 | 88.1  | 93.5  | 98.5  | \*    | \*    |
| 15    | \*   | \*   | 82.5 | 85.1 | 91    | 99    | 100.7 | \*    | \*    |
| 16    | \*   | \*   | 85.1 | 87.4 | 91.1  | 95.8  | 101.3 | \*    | \*    |
| 17    | \*   | \*   | 87.9 | 89.5 | 93.4  | 100.4 | 103.1 | \*    | \*    |
| 18    | \*   | \*   | 87.1 | 87.7 | 93.1  | 98.1  | 105   | \*    | \*    |
| 19    | \*   | \*   | 87.8 | 89.6 | 93.4  | 99.9  | 103.1 | \*    | \*    |
| 20+   | 86.8 | 89.4 | 91.1 | 93.6 | 98.6  | 104.2 | 107.6 | 110.2 | 115.7 |
| 20–29 | 85.1 | 87.1 | 88.7 | 91.1 | 96.1  | 101.9 | 106.1 | 109.3 | 114.3 |
| 30–39 | 87.8 | 90.1 | 91.5 | 93.6 | 98.2  | 103.9 | 107.1 | 110.5 | 116.6 |
| 40–49 | 86.7 | 90.4 | 92   | 94.5 | 99.6  | 105.3 | 109   | 111.3 | 118   |
| 50–59 | 88.7 | 91.6 | 93.1 | 96.1 | 100.4 | 105.2 | 107.6 | 110.6 | 116.2 |
| 60–69 | 88.3 | 90.6 | 92.6 | 95.2 | 100.2 | 105.5 | 108.4 | 110.5 | 114   |
| 70–79 | 87.4 | 90.1 | 92.1 | 93.7 | 98.6  | 104.1 | 107.3 | 109.6 | 115.1 |
| 80+   | 86.5 | 88.5 | 89.6 | 92.2 | 97.1  | 101.9 | 103.9 | 107.1 | 111.5 |
