| Age   | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 2     | 16   | 16.5 | 17   | 17.5 | 18.4 | 19.6 | 20.2 | 20.8 | 21.5 |
| 3     | 18   | 19   | 19.4 | 20.1 | 21   | 22.2 | 23   | 23.8 | 24.6 |
| 4     | 20.2 | 20.9 | 21.1 | 21.7 | 23   | 24.5 | 25.3 | 25.7 | 26.7 |
| 5     | 21.7 | 22.5 | 22.8 | 23.7 | 25.1 | 26.7 | 27.6 | 28.2 | 29   |
| 6     | \*   | 24.5 | 25   | 25.9 | 27.2 | 29.4 | 30.5 | 31.1 | \*   |
| 7     | \*   | 26.1 | 27.1 | 28   | 29.6 | 31.1 | 31.9 | 33   | \*   |
| 8     | \*   | 27.7 | 28.4 | 29.5 | 31   | 32.6 | 33.9 | 34.5 | \*   |
| 9     | \*   | 29.3 | 30   | 31   | 32.8 | 34.9 | 36   | 36.7 | \*   |
| 10    | \*   | 31   | 32.1 | 33   | 34.6 | 36.4 | 37.6 | 38.2 | \*   |
| 11    | \*   | 32.1 | 32.7 | 33.5 | 35.7 | 37.7 | 39.5 | 40   | \*   |
| 12    | \*   | \*   | 35.3 | 36.1 | 38.6 | 41.2 | 41.9 | \*   | \*   |
| 13    | \*   | \*   | 36.8 | 37.8 | 39.4 | 41.8 | 42.6 | \*   | \*   |
| 14    | \*   | \*   | 39.3 | 40.1 | 41.8 | 43.5 | 45.3 | \*   | \*   |
| 15    | \*   | \*   | 40   | 40.9 | 43.2 | 45.5 | 46.7 | \*   | \*   |
| 16    | \*   | \*   | 40.4 | 41.7 | 43.4 | 45.6 | 47   | \*   | \*   |
| 17    | \*   | \*   | 41.8 | 42.4 | 45.2 | 46.7 | 47.2 | \*   | \*   |
| 18    | \*   | \*   | 41.1 | 42.6 | 44.4 | 47.2 | 47.8 | \*   | \*   |
| 19    | \*   | \*   | 41   | 41.6 | 43   | 45.1 | 46.5 | \*   | \*   |
| 20+   | 37   | 38.1 | 39   | 40.1 | 42.2 | 44.5 | 45.6 | 46.6 | 47.8 |
| 20–29 | 38.1 | 39.2 | 40   | 41   | 43.1 | 45.5 | 46.6 | 47.4 | 48.6 |
| 30–39 | 38.1 | 39   | 39.8 | 41   | 43   | 45.1 | 46.2 | 47   | 48.4 |
| 40–49 | 37.1 | 38.1 | 39   | 40.1 | 42.2 | 44.2 | 45.4 | 46.4 | 47.5 |
| 50–59 | 36.2 | 37.7 | 39   | 40   | 41.7 | 43.6 | 44.6 | 45.6 | 46.8 |
| 60–69 | 35.5 | 36.7 | 37.5 | 38.8 | 41   | 43.2 | 44.5 | 45.2 | 46.2 |
| 70–79 | 35.4 | 36.6 | 37.3 | 38.4 | 40.6 | 42.7 | 44.1 | 44.8 | 46   |
| 80+   | 34.6 | 36.1 | 37.2 | 38   | 40.1 | 42.1 | 43.2 | 44.3 | 45.6 |
