Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",8.2,8.8,9.2,10.2,11.8,14,15.3,16,17.7
"3 years",*,7.9,8.6,9.2,10.8,12.7,14,15,*
"4 years",6.9,7.5,8.1,9.2,10.7,13.1,14.7,15.5,17.7
"5 years",6.9,7.7,8.1,8.8,10.4,12.9,14.3,15.4,17.1
"6 years",*,7.2,7.4,8.3,10.9,13.5,17.3,22.1,*
"7 years",*,7.3,7.7,8.8,11,14.3,16.3,19.8,*
"8 years",*,7.5,7.9,8.7,10.9,16.7,19.6,23.6,*
"9 years",*,7.2,8.1,9.3,12.2,16.6,24.6,32.8,*
"10 years",*,7.1,7.9,10,13.8,20.2,27.7,29.7,*
"11 years",*,7.8,8.4,10.5,13.9,20.6,23.8,27.5,*
"12 years",*,*,8.4,10.4,14.7,20.6,23.2,*,*
"13 years",*,*,7,9,11.8,17.7,24.9,*,*
"14 years",*,*,7.1,7.8,10.3,15,22,*,*
"15 years",*,*,6.4,7.7,9.7,13.9,20,*,*
"16 years",*,*,6.9,7.8,10.2,13.6,16.8,*,*
"17 years",*,*,5.8,7.7,10,14.5,17.1,*,*
"18 years",*,*,6.5,7.6,9.4,14.2,17.5,*,*
"19 years",*,*,*,8,10,16.7,*,*,*
"20 years and older",5.9,7,7.8,9.3,12.9,18,21.7,24.3,30.5
"20–29 years",5.6,6.4,7.2,8.2,11.9,17.1,20.3,22.6,29.2
"30–39 years",5.9,7,8.1,9.5,12.9,18,21.7,24.3,30.5
"40–49 years",6.5,7.5,8.2,9.7,13.7,18,21.7,24.1,32.1
"50–59 years",6.3,7.6,8.5,10,13.9,18.7,23.1,25.8,31.7
"60–69 years",6.5,7.2,8,9.5,13,18.5,22.1,24.5,31.5
"70–79 years",6,7.1,7.9,8.9,12.5,18.4,21.8,26.2,30.8
"80 years and older",5.5,6.7,7.5,9.2,12.5,18.3,21.6,24.8,28.4
