| Age   | Sample size |
| ----- | ----------- |
| 2     | 562         |
| 3     | 582         |
| 4     | 533         |
| 5     | 554         |
| 6     | 272         |
| 7     | 274         |
| 8     | 247         |
| 9     | 280         |
| 10    | 258         |
| 11    | 275         |
| 12    | 236         |
| 13    | 220         |
| 14    | 218         |
| 15    | 191         |
| 16    | 208         |
| 17    | 201         |
| 18    | 175         |
| 19    | 177         |
| 20+   | 8758        |
| 20–29 | 1665        |
| 30–39 | 1775        |
| 40–49 | 1367        |
| 50–59 | 1006        |
| 60–69 | 1172        |
| 70–79 | 985         |
| 80+   | 788         |
