| Age   | Sample size |
| ----- | ----------- |
| 2     | 588         |
| 3     | 512         |
| 4     | 547         |
| 5     | 495         |
| 6     | 282         |
| 7     | 269         |
| 8     | 266         |
| 9     | 279         |
| 10    | 297         |
| 11    | 280         |
| 12    | 203         |
| 13    | 187         |
| 14    | 188         |
| 15    | 187         |
| 16    | 194         |
| 17    | 196         |
| 18    | 176         |
| 19    | 168         |
| 20+   | 7941        |
| 20–29 | 1630        |
| 30–39 | 1481        |
| 40–49 | 1226        |
| 50–59 | 855         |
| 60–69 | 1175        |
| 70–79 | 875         |
| 80+   | 699         |
