| Age   | Sample size |
| ----- | ----------- |
| 3     | 529         |
| 4     | 526         |
| 5     | 556         |
| 6     | 274         |
| 7     | 271         |
| 8     | 245         |
| 9     | 274         |
| 10    | 255         |
| 11    | 269         |
| 12    | 233         |
| 13    | 218         |
| 14    | 219         |
| 15    | 195         |
| 16    | 211         |
| 17    | 212         |
| 18    | 185         |
| 19    | 186         |
| 20+   | 8411        |
| 20–29 | 1805        |
| 30–39 | 1795        |
| 40–49 | 1305        |
| 50–59 | 966         |
| 60–69 | 1091        |
| 70–79 | 866         |
| 80+   | 583         |
