| Age   | Sample size |
| ----- | ----------- |
| 2     | 532         |
| 3     | 487         |
| 4     | 543         |
| 5     | 491         |
| 6     | 277         |
| 7     | 268         |
| 8     | 261         |
| 9     | 272         |
| 10    | 292         |
| 11    | 281         |
| 12    | 202         |
| 13    | 181         |
| 14    | 185         |
| 15    | 183         |
| 16    | 192         |
| 17    | 192         |
| 18    | 169         |
| 19    | 161         |
| 20+   | 7429        |
| 20–29 | 1583        |
| 30–39 | 1434        |
| 40–49 | 1174        |
| 50–59 | 816         |
| 60–69 | 1100        |
| 70–79 | 780         |
| 80+   | 542         |
