| Age   | Sample size |
| ----- | ----------- |
| 2     | 528         |
| 3     | 487         |
| 4     | 544         |
| 5     | 495         |
| 6     | 279         |
| 7     | 269         |
| 8     | 261         |
| 9     | 276         |
| 10    | 294         |
| 11    | 282         |
| 12    | 202         |
| 13    | 182         |
| 14    | 187         |
| 15    | 185         |
| 16    | 192         |
| 17    | 193         |
| 18    | 169         |
| 19    | 164         |
| 20+   | 7501        |
| 20–29 | 1588        |
| 30–39 | 1435        |
| 40–49 | 1180        |
| 50–59 | 819         |
| 60–69 | 1117        |
| 70–79 | 799         |
| 80+   | 563         |
