| Age   | Sample size |
| ----- | ----------- |
| 2     | 522         |
| 3     | 482         |
| 4     | 539         |
| 5     | 489         |
| 6     | 279         |
| 7     | 268         |
| 8     | 260         |
| 9     | 273         |
| 10    | 293         |
| 11    | 279         |
| 12    | 201         |
| 13    | 181         |
| 14    | 185         |
| 15    | 180         |
| 16    | 191         |
| 17    | 191         |
| 18    | 169         |
| 19    | 161         |
| 20+   | 7369        |
| 20–29 | 1574        |
| 30–39 | 1430        |
| 40–49 | 1170        |
| 50–59 | 815         |
| 60–69 | 1091        |
| 70–79 | 764         |
| 80+   | 525         |
