| Age   | Sample size |
| ----- | ----------- |
| 2     | 507         |
| 3     | 562         |
| 4     | 527         |
| 5     | 554         |
| 6     | 273         |
| 7     | 268         |
| 8     | 244         |
| 9     | 273         |
| 10    | 254         |
| 11    | 266         |
| 12    | 233         |
| 13    | 216         |
| 14    | 217         |
| 15    | 188         |
| 16    | 204         |
| 17    | 191         |
| 18    | 169         |
| 19    | 170         |
| 20+   | 8061        |
| 20–29 | 1616        |
| 30–39 | 1702        |
| 40–49 | 1295        |
| 50–59 | 962         |
| 60–69 | 1074        |
| 70–79 | 852         |
| 80+   | 560         |
