| Age   | Sample size |
| ----- | ----------- |
| 2     | 564         |
| 3     | 590         |
| 4     | 535         |
| 5     | 557         |
| 6     | 274         |
| 7     | 275         |
| 8     | 247         |
| 9     | 282         |
| 10    | 262         |
| 11    | 275         |
| 12    | 239         |
| 13    | 225         |
| 14    | 226         |
| 15    | 201         |
| 16    | 221         |
| 17    | 217         |
| 18    | 193         |
| 19    | 194         |
| 20+   | 9067        |
| 20–29 | 1867        |
| 30–39 | 1863        |
| 40–49 | 1371        |
| 50–59 | 1009        |
| 60–69 | 1177        |
| 70–79 | 988         |
| 80+   | 792         |
